"マルチビタミン＆ミネラル
大ボトル",,,,,,,"マルチビタミン＆ミネラル
小ボトル",,,,,,,プレミアムビタミン＆ミネラル,,,,,,,"マルチビタミン＆ミネラル
女性用　Ver.2",,,,,,,"マルチビタミン＆ミネラル
【アレルゲンケア】",,,,,,,"マルチビタミン＆ミネラル
【アスリート】",,,,,,,"マルチビタミン＆ミネラル
【アレルゲンケア】  18粒入り",,,,,,,"一般用：マルチビタミン＆ミネラル
【アレルゲンケア】  18粒入り",,,,,
発注点,,,7700,,,,発注点,,,7700,,,,発注点,,,1650,,,,発注点,,,1100,,,,発注点,,,5500,,,,発注点,,,600,,,,発注点,,,,,,,発注点,,,,,
平均出庫,,,1400,,,,平均出庫,,,1400,,,,平均出庫,,,300,,,,平均出庫,,,200,,,,平均出庫,,,1000,,,,平均出庫,,,110,,,,平均出庫,,,,,,,平均出庫,,,,,
,,,販売数,,ｻﾝﾌﾟﾙ,,,,,販売数,,ｻﾝﾌﾟﾙ,,,,,販売数,,ｻﾝﾌﾟﾙ,,,,,販売数,,ｻﾝﾌﾟﾙ,,,,,販売数,,ｻﾝﾌﾟﾙ,,,,,販売数,,ｻﾝﾌﾟﾙ,,,,,販売数,,ｻﾝﾌﾟﾙ,,,,,販売数,,ｻﾝﾌﾟﾙ
2025年5月出庫,,,1178,,22,,2025年5月出庫,,,1104,,34,,2025年5月出庫,,,168,,4,,2025年5月出庫,,,163,,1,,2025年5月出庫,,,808,,25,,2025年5月出庫,,,32,,26,,2025年5月出庫,,,22,,82,,2025年5月出庫,,,22,,82
2025年6月出庫,,,1058,,2,,2025年6月出庫,,,1085,,5,,2025年6月出庫,,,175,,1,,2025年6月出庫,,,218,,0,,2025年6月出庫,,,824,,61,,2025年6月出庫,,,38,,20,,2025年6月出庫,,,106,,7,,2025年6月出庫,,,106,,7
2025年7月出庫,,,1326,,22,,2025年7月出庫,,,1301,,24,,2025年7月出庫,,,177,,5,,2025年7月出庫,,,178,,0,,2025年7月出庫,,,1057,,11,,2025年7月出庫,,,34,,20,,2025年7月出庫,,,273,,0,,2025年7月出庫,,,2,,94
2025年8月出庫,,,1081,,4,,2025年8月出庫,,,1067,,8,,2025年8月出庫,,,183,,7,,2025年8月出庫,,,170,,0,,2025年8月出庫,,,685,,8,,2025年8月出庫,,,103,,20,,2025年8月出庫,,,49,,0,,2025年8月出庫,,,2,,30
2025年9月出庫,,,1360,,21,,2025年9月出庫,,,1421,,4,,2025年9月出庫,,,180,,12,,2025年9月出庫,,,193,,1,,2025年9月出庫,,,900,,10,,2025年9月出庫,,,103,,20,,2025年9月出庫,,,209,,0,,2025年9月出庫,,,2,,210
2025年10月出庫,,,1298,,3,,2025年10月出庫,,,1324,,9,,2025年10月出庫,,,173,,10,,2025年10月出庫,,,199,,1,,2025年10月出庫,,,893,,9,,2025年10月出庫,,,77,,21,,2025年10月出庫,,,24,,0,,2025年10月出庫,,,4,,220
前月末在庫,,,,,"3,230 ",,前月末在庫,,,,,"3,251 ",,前月末在庫,,,,,610 ,,前月末在庫,,,,,"2,168 ",,前月末在庫,,,,,"4,520 ",,前月末在庫,,,,,"1,291 ",,前月末在庫,,,,,554,,前月末在庫,,,,,275
賞味期限,,,,個数,,,賞味期限,,,,個数,,,賞味期限,,,,個数,,,賞味期限,,,,個数,,,賞味期限,,,,個数,,,賞味期限,,,,個数,,,賞味期限,,,,個数,,,賞味期限,,,,個数,
2028年1月,,,,515,,,202年3月,,,,,3251,,2027年10月,,,,609,,,2027年10月,,,,113,,,2028年3月,,,,4520,,,2027年8月,,,,291,,,2028年3月,,,,554,,,2026年6月,,,,275,
2028年9月,,,,2715,,,,,,,,,,,,,,,,,2028年9月,,,,2053,,,,,,,,,,2028年3月,,,,1000,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
