"マルチビタミン＆ミネラル
大ボトル",,,,,,,"マルチビタミン＆ミネラル
小ボトル",,,,,,,プレミアムビタミン＆ミネラル,,,,,,,"マルチビタミン＆ミネラル
女性用　Ver.2",,,,,,,"マルチビタミン＆ミネラル
【アレルゲンケア】",,,,,,,"マルチビタミン＆ミネラル
【アスリート】",,,,,,,"マルチビタミン＆ミネラル
【アレルゲンケア】  18粒入り",,,,,
発注点,,,7700,,,,発注点,,,7700,,,,発注点,,,1375,,,,発注点,,,1100,,,,発注点,,,5500,,,,発注点,,,600,,,,発注点,,,,,
平均出庫,,,1400,,,,平均出庫,,,1400,,,,平均出庫,,,250,,,,平均出庫,,,200,,,,平均出庫,,,1000,,,,平均出庫,,,110,,,,平均出庫,,,,,
,,,販売数,,ｻﾝﾌﾟﾙ,,,,,販売数,,ｻﾝﾌﾟﾙ,,,,,販売数,,ｻﾝﾌﾟﾙ,,,,,販売数,,ｻﾝﾌﾟﾙ,,,,,販売数,,ｻﾝﾌﾟﾙ,,,,,販売数,,ｻﾝﾌﾟﾙ,,,,,販売数,,ｻﾝﾌﾟﾙ
2025年6月出庫,,,1058,,2,,2025年6月出庫,,,1085,,5,,2025年6月出庫,,,175,,1,,2025年6月出庫,,,218,,0,,2025年6月出庫,,,824,,61,,2025年6月出庫,,,38,,20,,2025年6月出庫,,,106,,7
2025年7月出庫,,,1326,,22,,2025年7月出庫,,,1301,,24,,2025年7月出庫,,,177,,5,,2025年7月出庫,,,178,,0,,2025年7月出庫,,,1057,,11,,2025年7月出庫,,,34,,20,,2025年7月出庫,,,273,,0
2025年8月出庫,,,1081,,4,,2025年8月出庫,,,1067,,8,,2025年8月出庫,,,183,,7,,2025年8月出庫,,,170,,0,,2025年8月出庫,,,685,,8,,2025年8月出庫,,,103,,20,,2025年8月出庫,,,49,,0
2025年9月出庫,,,1360,,21,,2025年9月出庫,,,1421,,4,,2025年9月出庫,,,180,,12,,2025年9月出庫,,,193,,1,,2025年9月出庫,,,900,,10,,2025年9月出庫,,,103,,20,,2025年9月出庫,,,209,,0
2025年10月出庫,,,1298,,3,,2025年10月出庫,,,1324,,9,,2025年10月出庫,,,173,,10,,2025年10月出庫,,,199,,1,,2025年10月出庫,,,893,,9,,2025年10月出庫,,,77,,21,,2025年10月出庫,,,24,,0
2025年11月出庫,,,1108,,20,,2025年11月出庫,,,1069,,24,,2025年11月出庫,,,136,,4,,2025年11月出庫,,,237,,0,,2025年11月出庫,,,744,,4,,2025年11月出庫,,,61,,21,,2025年11月出庫,,,44,,0
前月末在庫,,,,,"2,113 ",,前月末在庫,,,,,"2,168 ",,前月末在庫,,,,,465 ,,前月末在庫,,,,,"1,936 ",,前月末在庫,,,,,"3,772 ",,前月末在庫,,,,,"1,210 ",,前月末在庫,,,,,511 
賞味期限,,,,個数,,,賞味期限,,,,個数,,,賞味期限,,,,個数,,,賞味期限,,,,個数,,,賞味期限,,,,個数,,,賞味期限,,,,個数,,,賞味期限,,,,個数,
2028年9月,,,,2103,,,2028年3月,,,,,2158,,2027年10月,,,,463,,,2028年9月,,,,1934,,,2028年3月,,,,3772,,,2027年8月,,,,210,,,2028年3月,,,,511,
2028年9月,,,,2713,,,2028年11月,,,,,5000,,2027年10月,,,,25,,,,,,,,,,,,,,,,,2028年3月,,,,1000,,,,,,,,
,,,,,,,,,,,,,,2028年9月,,,,456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
社販,,,,,10,,社販,,,,,10,,社販,,,,,2,,社販,,,,,2,,社販,,,,,,,社販,,,,,,,社販,,,,,
